,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Rank,Lyrics
254,228,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71,78.0, baby love never felt so good and i doubt if it ever could not like you hold me hold me oh baby love never felt so fine and i doubt if its never mine not like you hold me hold me and the night is gonna be just fine gotta fly gotta see cant believe i cant take itcause baby every time i love you its in and out of my life in out baby tell me if you really love me its in and out of my life in out baby cause baby love never felt so goodbaby love never felt so fine and id doubt if it was ever mine not like you hold me hold me oh baby love never felt so good and i doubt if it ever could not like you hold me hold me and the night is gonna be just fine gotta fly gotta see cant believe i cant take it causebaby every time i love you in and out of my life in out baby tell me if you really love me its in and out of my life driving me crazy baby love never felt so goodbaby love never felt so fine and id doubt it was mine all mine not like you hold me hold me oh baby love never felt so good and i doubt if it ever could not like you hold me hold me and the night is gonna be just fine gotta fly gotta see cant believe i cant take it causebaby every time i love you in and out of my life in out baby tell me if you really love me its in and out of my life driving me crazy baby love never felt so good 
255,229,Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71,39.0, we we dont have to worry about nothing cause we got the fire and were burning one hell of a something they they gonna see us from outer space outer space light it up like were the stars of the human race human racewhen the lights turned down they dont know what they heard strike the match play it loud giving love to the world well be raising our hands shining up to the sky cause we got the fire fire fire yeah we got the fire fire fireand we gonna let it burn burn burn burn we gonna let it burn burn burn burn gonna let it burn burn burn burn we gonna let it burn burn burn burnwe dont wanna leave no we just gonna be right now and what we see is everybodys on the floor acting crazy getting loco to the lights out musics on im waking up we stop the vibe and we bump it up and its over now we got the love theres no secret now no secret nowwhen the lights turned down they dont know what they heard strike the match play it loud giving love to the world well be raising our hands shining up to the sky cause we got the fire fire fire yeah we got the fire fire fireand we gonna let it burn burn burn burn we gonna let it burn burn burn burn gonna let it burn burn burn burn we gonna let it burn burn burn burnwhen the lights turned down they dont know what they heard strike the match play it loud giving love to the worldwe gonna let it burn burn burn burn burn burn burn burnwe can light it up up up so they can put it out out out we can light it up up up so they can put it out out out we can light it up up up so they can put it out out out we can light it up up up so they can put it out out outwhen the lights turned down they dont know what they heard strike the match play it loud giving love to the world well be raising our hands shining up to the sky cause we got the fire fire fire yeah we got the fire fire fireand we gonna let it burn burn burn burn we gonna let it burn burn burn burn gonna let it burn burn burn burn we gonna let it burn burn burn burnwhen the lights turned down they dont know what they heard strike the match play it loud giving love to the world well be raising our hands shining up to the sky cause we got the fire fire fire yeah we got the fire fire fireand we gonna let it burn 
256,230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71,93.0, hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey heysimmer down simmer down they say were too young now to amount to anything else but look around we work too damn hard for this just to give it up now if you dont swim youll drown but dont move honeyyou look so perfect standing there in my american apparel underwear and i know now that im so down your lipstick stain is a work of art i got your name tattooed in an arrow heart and i know now that im so down heyhey hey hey hey hey hey hey heylets get out lets get out cause this deadbeat towns only here just to keep us down while i was out i found myself alone just thinking if i showed up with a plane ticket and a shiny diamond ring with your name on it would you wanna run away too cause all i really want is youyou look so perfect standing there in my american apparel underwear and i know now that im so down i made a mixtape straight out of 94 ive got your ripped skinny jeans lying on the floor and i know now that im so downhey hey hey hey hey hey hey hey heyyou look so perfect standing there in my american apparel underwear and i know now that im so down your lipstick stain is a work of art i got your name tattooed in an arrow heart and i know now that im so downhey hey hey hey hey hey hey hey heyyou look so perfect standing there in my american apparel underwear and i know now that im so down hey your lipstick stain is a work of art hey hey i got your name tattooed in an arrow heart hey hey and i know now that im so down hey hey 
257,231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70,4.0, listen to this jam show em what you got inbox freshfirst things first im the realest realest drop this and let the whole world feel it let em feel it and im still in the murder business i can hold you down like im givin lessons in physics right you should want a bad bitch like this ha drop it low and pick it up just like this yeah cup of ace cup of goose cup of cris high heels somethin worth a half a ticket on my wrist on my wrist takin all the liquor straight never chase that never rooftop like we bringin 88 back what bring the hooks in where the bass at champagne spillin you should taste thatim so fancy you already know im in the fast lane from la to tokyo im so fancy cant you taste this gold remember my name bout to blowi said baby i do this i thought that you knew this cant stand no haters and honest the truth is and my flow retarded they speak it depart it swagger on super i cant shop at no department better get my money on time if they not money decline and swear i meant that there so much that they give that line a rewind so get my money on time if they not money decline i just cant worry bout no haters gotta stay on my grind now tell me who that who that that do that do that put that paper over all i thought you knew that knew that i be that iggy put my name in bold i been working im up in here with some change to throwim so fancy you already know im in the fast lane from la to tokyo im so fancy cant you taste this gold remember my name bout to blowtrash the hotel lets get drunk on the mini bar make the phone call feels so good getting what i want yeah keep on turning it up chandelier swinging we dont give a fuck film star yeah im deluxe classic expensive you dont get to touch owstill stunting how you love that got the whole world asking how i does that hot girl hands off dont touch that look at that i bet you wishing you could clutch that just the way you like it huh youre so good hes just wishing he could bite it huh say what what never turn down money slaying these hoes gold trigger on the gun likeim so fancy you already know im in the fast lane from la to tokyo im so fancy cant you taste this gold remember my name bout to blowwho that who that iggy that do that do that iggy who that who that iggy blowwho that who that iggy that do that do that iggy who that who that iggy blow 
263,237,Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,8,74,225,17,6,66,67.0, ill be your light your match your burning sun ill be the bright and black thats making you run and i feel alright and well feel alright cause well work it out yeah well work it out ill be doin this if you ever doubt til the love runs out til the love runs outill be your ghost your game your stadium ill be your fifty thousand clapping like one and i feel alright and i feel alright cause i worked it out yeah i worked it out ill be doin this if you ever doubt til the love runs out til the love runs outi got my mind made up and i cant let go im killing every second til it sees my soul ill be running ill be running til the love runs out til the love runs out and well start a fire and well shut it down til the love runs out til the love runs outtheres a maniac out in front of me got an angel on my shoulder and mephistopheles my momma raised me good momma raised me right momma said do what you want say prayers at night and im saying them cause im so devout til the love runs out til the love runs out yeahi got my mind made up and i cant let go im killing every second til it sees my soul ill be running ill be running til the love runs out til the love runs out and well start a fire and well shut it down til the love runs out til the love runs outooh we all want the same thing ooh we all run for something oh for god for fate for love for hate for gold and rust for diamonds and dustill be our light your match your burning sun ill be the bright and black thats making you run i got my mind made up and i cant let go im killing every second til it sees my soul ill be running ill be running til the love runs out til the love runs out and well start a fire and well shut it down til the love runs out til the love runs outill be your light your match your burning sun ill be the bright and black thats making you run and i feel alright and well feel alright cause well work it out yeah well work it out and well start a fire and well shut it down til the love runs out til the love runs out til the love runs out 
268,242,Partition,Beyonc�,dance pop,2014,186,44,41,-12,31,17,319,3,29,65,95.0, see me up in the club with 50 of the girls posted in the back with my things on my grill brooklyn brim with my eyes sittin low every boy in here with me got that smoke every girl in here got to look me up and down all on instagram cake by the pound circulate the image every time i come around gs up tell me how im lookin babeboy this all for you just walk my way just tell me how its lookin babe i do this all for you baby just take aim and tell me how its lookin babe lookin babedrop the bass mane the bass get lower radio say speed it up i just go slower high like treble pumping on them mids ya man aint never seen a booty like this and why you think ya keep my name rollin off your tongue cause when you he want to smash ill just write another one i sneezed on the beat and the beat got sicker yoncé all on his mouth like liquordriver roll up the partition please driver roll up the partition please i dont need you seeing yonce on her knees took 45 minutes to get all dressed up we aint even gonna make it to this club now my mascara running red lipstick smudged oh he so horny he want to fuck he bucked all my buttons he ripped my blouse he monica lewinski all on my gownoh there daddy ddaddy didnt bring the towel oh baby bbaby we slow it down took 45 minutes to get all dressed up we aint even gonna make it to this clubtake all of me i just wanna be the girl you like girl you like the kind of girl you like girl you like take all of me i just wanna be the girl you like girl you like the kinda girl you like is right here with medriver roll up the partition fast driver roll up the partition fast over there i swear i saw them cameras flash handprints and footprints on my glass handprints and good grips all on my ass private show with the music blasting he like to call me peaches when we get this nasty red wine drip talk that trash chauffer eavesdropping trying not to crashoh there daddy ddaddy now you ripped my fur oh baby bbaby be sweatin on my hair took 45 minutes to get all dressed up we aint even gonna make it to this clubtake all of me i just wanna be the girl you like girl you like the kind of girl you like girl you like take all of me i just wanna be the girl you like girl you like the kinda girl you like is right here with metake all of me i just wanna be the girl you like girl you like the kind of girl you like girl you like take all of me i just wanna be the girl you like girl you like the kinda girl you like is right here with me 
269,243,Birthday,Katy Perry,dance pop,2014,126,67,72,-5,11,84,215,9,7,65,80.0, i heard youre feeling nothings going right why dont you let me stop by the clock is ticking running out of time so we should party all night so cover your eyes i have a surprise i hope you got a healthy appetiteif you wanna dance if you want it all you know that im the girl that you should callboy when youre with me ill give you a taste make it like your birthday everyday i know you like it sweet so you can have your cake give you something good to celebrateso make a wish ill make it like your birthday everyday ill be your gift give you something good to celebratepop your perignon we can get it on so hot and heavy till dawn i got you spinning like a disco ball ill have them playing your songwere living the life were doing it right youre never gonna be unsatisfied if you wanna dance if you want it all you know im the girl that you should callbut when youre with me ill give you a taste make it like your birthday everyday i know you like it sweet so you can have your cake give you something good to celebrateso make a wish ill make it like your birthday everyday ill be your gift give you something good to celebratehappy birthdayso let me get you in your birthday suit its time to bring out the big balloons so let me get you in your birthday suit its time to bring out the big big big big big big balloonsboy when youre with me ill give you a taste make it like your birthday everyday i know you like it sweet so you can have your cake give you something good to celebrateboy when youre with me ill give you a taste make it like your birthday everyday i know you like it sweet so you can have your cake give you something good to celebrateso make a wish ill make it like your birthday everyday ill be your gift give you something good to celebratehappy birthday 
276,250,Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,9,9,229,87,3,61,85.0, this shit was all i knew you and me only i did it all for you still you were lonely we can work it out uhh but i guess things change its funny how someone elses success brings pain when youre no longer involved that person has it all you just stuck standin there im gonna need you to say something baby say say something baby say something baby say something baby im gonna need you to say something baby im gonna need you to say something babyyeah it really sucks whenever since ive been long gone i traded in my senorita for a microphone i hate the way you fell apart girl its sad to see your life is good but me and you were a catastrophe if i was unsuccessful would you be satisfied i need a paramedic girl im feeling paralyzed if i could choose you will always be a friend to me the more money i made you acting like my enemy its crazy i cant help it if youre really ashamed all the pressure would turn you into my diamond babe how can something so familiar be so strange closest friends get estranged when the status change ah is it my mistake think that where i am and where you at and my homeboy larry live is the only one that had my back you were the perfect girl now it seems we dont match is it the money want me to give it backthis shit was all i knew you and me only i did it all for you still you were lonely we can work it out uhh but i guess things change its funny how someone elses success brings pain when youre no longer involved that person has it all you just stuck standin there but im gonna need you to say something baby say say something baby say something baby say something baby im gonna need you to say something baby im gonna need you to say something babyi am the topic of conversation this is celebration lets toast to the fact that ive moved out my mamas basement to a condo downtown cause its all about location im sitting drink wine and watch californication of life you should have been here to kick it with me we could have split this whole thing up fifty fifty but now im at the forty forty getting bitches tipsy killing shit the ever so talented mr ripley how i go from being the man that you argue with to me and dwayne carter putting out the hardest shit i should want to go back to the one i started with but im addicted to this life its gonna be hard to quit yeah just ask me how things are coming along you could tell me that youve never heard none of my songs as long as you end up saying one day you plan to listen cause whats a star when its most important fan is missing 
278,251,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60,51.0, cause youre a sky cause youre a sky full of stars im gonna give you my heart cause youre a sky cause youre a sky full of stars cause you light up the path    memory  byamandah   editor    the voice indonesias gloria jessica gave coldplays a sky full of stars a popularity boost after she performed a strippeddown version for the show watch    see all   i dont care go on and tear me apart i dont care if you do cause in a sky cause in a sky full of stars i think i saw youcause youre a sky cause youre a sky full of stars i want to die in your arms arms cause you get lighter the more it gets dark im going to give you my heartand i dont care go on and tear me apart and i dont care if you do cause in a sky cause in a sky full of stars i think i see you i think i see you 
280,253,Chandelier,Sia,australian dance,2014,174,78,29,-3,7,62,216,2,7,56,25.0, party girls dont get hurt cant feel anything when will i learn i push it down push it downim the one for a good time call phones blowin up theyre ringin my doorbell i feel the love feel the loveprechorus 123 123 drink 123 123 drink 123 123 drink    meaning  byjamesg   editor    chandelier is the lead single from australian recording artist sias sixth studio album 1000 forms of fear 2014 it is her first single in four years it    see all   throw em back til i lose countchorus im gonna swing from the chandelier from the chandelier im gonna live like tomorrow doesnt exist like it doesnt exist im gonna fly like a bird through the night feel my tears as they dry im gonna swing from the chandelier from the chandelierbut im holding on for dear life wont look down wont open my eyes keep my glass full until morning light cos im just holding on for tonight help me im holding on for dear life wont look down wont open my eyes keep my glass full until morning light cos im just holding on for tonight on for tonightsun is up im a mess gotta get out now gotta run from this here comes the shame here comes the shameprechorus 123 123 drink 123 123 drink 123 123 drinkchorus im gonna swing from the chandelier from the chandelier im gonna live like tomorrow doesnt exist like it doesnt exist im gonna fly like a bird through the night feel my tears as they dry im gonna swing from the chandelier from the chandelier 
285,257,Drunk in Love,Beyonc�,dance pop,2014,140,62,59,-7,18,40,323,1,5,52,35.0, intro beyoncéive been drinking ive been drinking i get filthy when that liquor get into me ive been thinking ive been thinking why cant i keep my fingers off you baby i want you na na why cant i keep my fingers off you baby i want you na naverse 1 beyoncé cigars on ice cigars on ice feeling like an animal with these cameras all in my grill flashing lights flashing lights you got me faded faded faded baby i want you na na cant keep your eyes off my fatty daddy i want you na na drunk in love i want youbridge beyoncé we woke up in the kitchen saying how the hell did this shit happen oh baby drunk in love we be all night last thing i remember is our beautiful bodies grinding off in that club drunk in lovehook beyoncé we be all night love love we be all night love loveverse 2 beyoncé we be all night and everything alright no complaints for my body so fluorescent under these lights boy im drinking walking in my lassemblage im rubbing on it rubrubbing if you scared call that reverend boy im drinking imma bring it right oñly bring you a gangster wife louis sheets  he sweat it out like washed rags he wet it up boy im drinking im singing on the mic to my boys toys then i fill the tub up halfway then ride it with my surfboard surfboard surfboard graining on that wood graining graining on that wood im swerving on that swerving swerving on that big body been serving all this swerve surfing all of this good goodbridge we woke up in the kitchen saying how the hell did this shit happen oh baby drunk in love we be all night last thing i remember is our beautiful bodies grinding off in that club drunk in lovehook we be all night love love we be all night love loveverse 3 jay z hold up hold up i do say its the shit if i do say so myself if i do say so myself if i do say so myself hold up stumble all in the house tryna backup all of that mouth that you had all in the car talking bout you the baddest bitch thus far talking bout you be repping that 3rd wanna see all that shit that i heard know i sling clint eastwood hope you can handle this curve uh foreplay in a foyer fucked up my warhol slid the panties right to the side aint got the time to take drawers off on sight catch a charge i might beat the box up like mike in 97 i bite im ike turner turn up baby know i dont play now eat the cake anna mae said eat the cake anna mae im nice for yall to reach these heights you gon need g3 4 5 6 flights sleep tight we sex again in the morning your breasteses is my breakfast we going in we be all nighthook beyoncé we be all night love love we be all night love loveverse 4 beyoncé never tired never tired i been sippin thats the only thing thats keeping me on fire me on fire didnt mean to spill that liquor all on my attire ive been drinking watermelon i want your body right here daddy i want you right now cant keep your eyes off my fatty daddy i want youhook beyoncé we be all night love love we be all night love love 
286,258,Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,21,65,260,7,18,50,36.0, my anaconda dont my anaconda dont my anaconda dont want none unless you got buns hunboy toy named troy used to live in detroit big dope dealer money he was gettin some coins was in shootouts with the law but he live in a palace bought me alexander mcqueen he was keeping me stylish now thats real real real gun in my purse bitch i came dressed to kill who wanna go first i had them pushing daffodils im high as hell i only took a half a pill im on some dumb shit by the way what he say he can tell i aint missing no meals come through and fuck him in my automobile let him eat it with his grills and he tellin me to chill and he telling me its real that he love my sex appeal say he dont like em boney he want something he can grab so i pulled up in the jag and i hit him with the jab like dundddundundddundunmy anaconda dont my anaconda dont my anaconda dont want none unless you got buns hunoh my gosh look at her butt oh my gosh look at her butt oh my gosh look at her butt look at her butt look at look at look at look at her buttthis dude named michael used to ride motorcycles dick bigger than a tower i aint talking about eiffels real countryass nigga let me play with his rifle pussy put his ass to sleep now he calling me nyquil now that bang bang bang i let him hit it cause he slang cocaine he toss my salad like his name romaine and when we done i make him buy me balmain im on some dumb shit by the way what he say he can tell i aint missing no meals come through and fuck him in my automobile let him eat it with his grills and he telling me to chill and he telling me its real that he love my sex appeal he say he dont like em boney he want something he can grab so i pulled up in the jag mayweather with the jab like dundddundundddundunmy anaconda dont my anaconda dont my anaconda dont want none unless you got buns hunoh my gosh look at her butt oh my gosh look at her butt oh my gosh look at her butt look at her butt look at look at look at look at her buttlittle in the middle but she got much back little in the middle but she got much back little in the middle but she got much back oh my god look at her buttmy anaconda dont my anaconda dont my anaconda dont want none unless you got buns hun my anaconda dont my anaconda dont dont want none unless you got buns hunoh my gosh look at her butt oh my gosh look at her butt oh my gosh look at her butt look at her butt look at look at look at look at her buttyeah he love this fat ass hahaha yeah this one is for my bitches with a fat ass in the fucking club i said where my fat ass big bitches in the club fuck the skinny bitches fuck the skinny bitches in the club i wanna see all the big fat ass bitches in the muthafuckin club fuck you if you skinny bitches what kyuh haha haha i got a big fat ass ass ass ass come on 
296,268,Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,38,46,266,27,6,0,45.0, said all i want from you is to see you tomorrow and every tomorrow maybe youll let me borrow your heart and is it too much to ask for every sunday an while were at it throw in every other day to starti know people make promises all the time then they turn right around and break them when someone cuts your heart open with a knife and youre bleeding but i could be that guy to heal it over time and i wont stop until you believe it cause baby youre worth itso dont act like its a bad thing to fall in love with me cause you might fuck around and find your dreams come true with me spend all your time and your money just to find out that my love was free so dont act like its a bad thing to fall in love with me me its not a bad thing to fall in love with me menow how about i be the last voice you hear tonight and every other night for the rest of the nights that there are and every morning i just wanna see you staring back at me cause i know thats a good place to starti know people make promises all the time then they turn right around and break them then someone cuts your heart open with a knife now youre bleeding dont you know that i could be that guy to heal it over time and i wont stop until you believe it cause baby youre worth itso dont act like its a bad thing to fall in love with me cause you might fuck around and find your dreams come true with me spend all your time and your money just find out my love was free so dont act like its a bad thing to fall in love with me me its not a bad thing to fall in love with me me not such a bad thing to fall in love with meno i wont fill your mind with broken promises and wasted time and if you fall youll always land right in these arms these arms of minedont act like its a bad thing to fall in love with me cause you might fuck around and find your dreams come true with me spend all your time and your money just to find out that my love was free so dont act like its a bad thing to fall in love with me me its not a bad thing to fall in love with me me not such a bad thing to fall in love with meif i had a pair of wings id pick you up and fly you far away from here and youd put your worries upon my shoulders my dear now i know i cant save you from the troubles of the world and this sounds like such a silly thing but if i could id fly you away on a big old pair of wingsand if i had a pair of wings id pick you up and fly you far away from here and wed fly so high up in the sky where the stars are so clear and then i could save you from the troubles of the world and all youd have to pack is your heart to bring and there we are you and me flying on a big old pair of wingswe keep getting older the world keeps getting colder tell me when did we lose our way its so hard not to lose your mind in such crazy days but if i had one wish i know what id wish for theres only one thing thatll do id fly away on this pair of wings with you if i had a pair of wings id scoop you up wed fly away and disappear then you could put your worries upon my shoulders my dear and i know i cant save you from the troubles of the world i know this sounds like such a silly thing but if i could id fly you away on a big old pair of wingsnow if i had a pair of wings id pick you up and fly you far away from here and i could stay right by your side and keep you so near and then i could save you form the troubles of the world and all youd have to pack is your heart to bring and there we are you and me flying on a big old pair of wingswe keep getting older the world keeps getting colder tell me when did we lose our way its so hard not to lose your mind in such crazy days and if i had one wish i know what id wish for theres only one thing thatll do id fly away on this pair of wings with you and if i had one wish i know what id wish for theres only one thing thatll do id fly away on this pair of wings with you i said if i had one wish i know what id wish for theres only one thing thatll do id fly away on this pair of wings with you 
297,269,Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84,2.0, when your legs dont work like they used to before and i cant sweep you off of your feet will your mouth still remember the taste of my love will your eyes still smile from your cheeksand darling i will be loving you til were 70 and baby my heart could still fall as hard at 23 and im thinking bout how people fall in love in mysterious ways maybe just the touch of a hand oh me i fall in love with you every single day and i just wanna tell you i amso honey now take me into your loving arms kiss me under the light of a thousand stars place your head on my beating heart im thinking out loud maybe we found love right where we arewhen my hairs all but gone and my memory fades and the crowds dont remember my name when my hands dont play the strings the same way mm i know you will still love me the samecause honey your soul can never grow old its evergreen baby your smiles forever in my mind and memoryim thinking bout how people fall in love in mysterious ways maybe its all part of a plan ill just keep on making the same mistakes hoping that youll understandbut baby now take me into your loving arms kiss me under the light of a thousand stars place your head on my beating heart im thinking out loud that maybe we found love right where we are ohah la la la la la la la la la la la laso baby now take me into your loving arms kiss me under the light of a thousand stars oh darling place your head on my beating heart im thinking out loud that maybe we found love right where we areoh maybe we found love right where we are and we found love right where we are 
298,270,I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8,49,239,53,4,84,26.0, you and me we made a vow for better or for worse i cant believe you let me down but the proofs in a way it hurtsfor months on end ive had my doubts denying every tear i wish this would be over now but i know that i still need you hereyou say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only oneyouve been so unavailable now sadly i know why your heart is unobtainable even though lord knows you kept mineyou say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only onei have loved you for many years maybe i am just not enough youve made me realize my deepest fear by lying and tearing us upyou say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only one you say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only one i know im not the only one i know im not the only one and i know and i know and i know and i know and i know and i know know i know im not the only one 
299,271,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84,10.0, your man on the road he doin promo you said keep our business on the lowlow im just tryna get you out the friend zone cause you look even better than the photos i cant find your house send me the info drivin through the gated residential found out i was comin sent your friends home keep on tryna hide it but your friends knowi only call you when its half past five the only time that ill be by your side i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me yeah i only fuck you when its half past five the only time id ever call you mine i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me babe    meaning  byjamesg   editor    the hills is the lead single of beauty behind the madness 2015 the second album of canadian recording artist the weeknd aka abel tesfaye the song    see all   imma let you know and keep it simple tryna keep it up dont seem so simple i just fucked two bitches fore i saw you and you gon have to do it at my tempo always tryna send me off to rehab drugs started feelin like its decaf im just tryna live life for the moment and all these motherfuckers want a relapsei only call you when its half past five the only time that ill be by your side i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me yeah i only fuck you when its half past five the only time id ever call you mine i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me babehills have eyes the hills have eyes who are you to judge who are you to judge hide your lies girl hide your lies only you to trust only youi only call you when its half past five the only time that ill be by your side i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me yeah i only fuck you when its half past five the only time id ever call you mine i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me babeewedihalehu yene konjo ewedihalehu yene fikir fikir fikir fikir yene fikir fikir fikir fikir 
301,273,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82,1.0, this hit that ice cold michelle pfeiffer that white gold this one for them hood girls them good girls straight masterpieces stylin whilen livin it up in the city got chucks on with saint laurent got kiss myself im so prettyim too hot hot damn called a police and a fireman im too hot hot damn make a dragon wanna retire man im too hot hot damn say my name you know who i am im too hot hot damn am i bad bout that money break it downgirls hit your hallelujah whoo girls hit your hallelujah whoo girls hit your hallelujah whoo cause uptown funk gon give it to you cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch dont believe me just watch dont believe me just watch dont believe me just watch hey hey hey oh    meaning  byamandah   editor    70s girl group the sequence accused bruno mars and producer mark ronson of ripping their sound off in uptown funk their song in question is funk you    see all   stop wait a minute fill my cup put some liquor in it take a sip sign a check julio get the stretch ride to harlem hollywood jackson mississippi if we show up we gon show out smoother than a fresh jar of skippyim too hot hot damn called a police and a fireman im too hot hot damn make a dragon wanna retire man im too hot hot damn bitch say my name you know who i am im too hot hot damn am i bad bout that money break it downgirls hit your hallelujah whoo girls hit your hallelujah whoo girls hit your hallelujah whoo cause uptown funk gon give it to you cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey ohbefore we leave lemmi tell yall a lil something uptown funk you up uptown funk you up uptown funk you up uptown funk you up uh i said uptown funk you up uptown funk you up uptown funk you up uptown funk you upcome on dance jump on it if you sexy then flaunt it if you freaky then own it dont brag about it come show mecome on dance jump on it if you sexy then flaunt it well its saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey ohuptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up 
302,274,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81,14.0, my lovers got humour shes the giggle at a funeral knows everybodys disapproval i shouldve worshipped her sooner if the heavens ever did speak she is the last true mouthpiece every sundays getting more bleak a fresh poison each week we were born sick you heard them say it my church offers no absolutes she tells me worship in the bedroom the only heaven ill be sent to is when im alone with you i was born sick but i love it command me to be well amen amen amentake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifetake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my life  meaning  bymoneyboss     i think this is a good song its about a guy who is in love with this girl but he didnt know it before hand and he wants to do anything to give her what she    see all   if im a pagan of the good times my lovers the sunlight to keep the goddess on my side she demands a sacrifice to drain the whole sea get something shiny something meaty for the main course thats a fine looking high horse what you got in the stable weve a lot of starving faithful that looks tasty that looks plenty this is hungry worktake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifetake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifeno masters or kings when the ritual begins there is no sweeter innocence than our gentle sin in the madness and soil of that sad earthly scene only then i am human only then i am clean amen amen amentake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifetake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my life 
303,275,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,81,5.0, im hurting baby im broken down i need your loving loving i need it now when im without you im something weak you got me begging begging im on my kneesi dont wanna be needing your love i just wanna be deep in your love and its killing me when youre away ooh baby cause i really dont care where you are i just wanna be there where you are and i gotta get one little tasteyour sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please wont you come and put it down on memy broken pieces you pick them up dont leave me hanging hanging come give me some when im without ya im so insecure you are the one thing the one thing im living fori dont wanna be needing your love i just wanna be deep in your love and its killing me when youre away ooh baby cause i really dont care where you are i just wanna be there where you are and i gotta get one little tasteyour sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar your sugar yes please yes please wont you come and put it down on meyeah i want that red velvet i want that sugar sweet dont let nobody touch it unless that somebodys me i gotta be a man there aint no other way cause girl youre hotter than southern california bayi dont wanna play no games i dont gotta be afraid dont give all that shy shit no make up on thats mysugar yes please wont you come and put it down on me down on me oh right here right here cause i need i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar sugar yes please yes please wont you come and put it down on meyour sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please wont you come and put it down on me down on me down on me 
